route_id,date,distance,distance_norm,len_cs,len_et,file_cs,file_et,time_cs,time_et
0521_894,2022-06-08,14,0.09929078014184398,141,141,0521_894-20220608\0521_894-20220608-085322-141-0.txt,0521_894-20220608\0521_894-20220608-100225-141-141.txt,085322,100225
0521_894,2022-06-09,0,0.0,119,119,0521_894-20220609\0521_894-20220609-085236-119-0.txt,0521_894-20220609\0521_894-20220609-093748-119-119.txt,085236,093748
0521_894,2022-06-10,22,0.15942028985507245,138,138,0521_894-20220610\0521_894-20220610-083414-138-0.txt,0521_894-20220610\0521_894-20220610-083642-138-138.txt,083414,083642
0521_894,2022-06-13,0,0.0,101,101,0521_894-20220613\0521_894-20220613-085727-101-0.txt,0521_894-20220613\0521_894-20220613-092921-101-101.txt,085727,092921
0521_894,2022-06-14,5,0.04032258064516129,124,121,0521_894-20220614\0521_894-20220614-083601-124-0.txt,0521_894-20220614\0521_894-20220614-093019-121-121.txt,083601,093019
0521_894,2022-06-15,17,0.1452991452991453,117,116,0521_894-20220615\0521_894-20220615-083835-117-0.txt,0521_894-20220615\0521_894-20220615-094126-116-116.txt,083835,094126
0521_894,2022-06-16,3,0.023809523809523808,126,123,0521_894-20220616\0521_894-20220616-081627-126-0.txt,0521_894-20220616\0521_894-20220616-081953-123-123.txt,081627,081953
0521_894,2022-06-17,0,0.0,98,98,0521_894-20220617\0521_894-20220617-080838-98-0.txt,0521_894-20220617\0521_894-20220617-085757-98-98.txt,080838,085757
0521_894,2022-06-18,0,0.0,90,90,0521_894-20220618\0521_894-20220618-074532-92-0.txt,0521_894-20220618\0521_894-20220618-083130-90-90.txt,074532,083130
0521_894,2022-06-20,1,0.013888888888888888,72,71,0521_894-20220620\0521_894-20220620-082153-72-0.txt,0521_894-20220620\0521_894-20220620-085116-71-71.txt,082153,085116
0521_894,2022-06-21,8,0.06896551724137931,116,116,0521_894-20220621\0521_894-20220621-084615-116-0.txt,0521_894-20220621\0521_894-20220621-092521-116-116.txt,084615,092521
0521_894,2022-06-22,10,0.08196721311475409,122,120,0521_894-20220622\0521_894-20220622-082937-122-0.txt,0521_894-20220622\0521_894-20220622-091120-120-120.txt,082937,091120
0521_896,2022-05-31,2,0.010638297872340425,188,188,0521_896-20220531\0521_896-20220531-090146-189-0.txt,0521_896-20220531\0521_896-20220531-105609-188-188.txt,090146,105609
0521_896,2022-06-01,1,0.006097560975609756,163,164,0521_896-20220601\0521_896-20220601-083735-163-0.txt,0521_896-20220601\0521_896-20220601-094811-164-164.txt,083735,094811
0521_896,2022-06-02,1,0.007692307692307693,130,129,0521_896-20220602\0521_896-20220602-082802-130-0.txt,0521_896-20220602\0521_896-20220602-092031-129-129.txt,082802,092031
0521_896,2022-06-03,0,0.0,111,111,0521_896-20220603\0521_896-20220603-083957-111-0.txt,0521_896-20220603\0521_896-20220603-094012-111-111.txt,083957,094012
0521_896,2022-06-04,0,0.0,84,84,0521_896-20220604\0521_896-20220604-065637-84-0.txt,0521_896-20220604\0521_896-20220604-081452-84-84.txt,065637,081452
0521_896,2022-06-07,0,0.0,113,113,0521_896-20220607\0521_896-20220607-084930-113-0.txt,0521_896-20220607\0521_896-20220607-095912-113-113.txt,084930,095912
0521_896,2022-06-08,6,0.04225352112676056,142,140,0521_896-20220608\0521_896-20220608-090001-142-0.txt,0521_896-20220608\0521_896-20220608-100046-140-140.txt,090001,100046
0521_896,2022-06-09,5,0.0364963503649635,134,137,0521_896-20220609\0521_896-20220609-084200-134-0.txt,0521_896-20220609\0521_896-20220609-094711-137-137.txt,084200,094711
0521_896,2022-06-10,1,0.007575757575757576,132,131,0521_896-20220610\0521_896-20220610-084135-132-0.txt,0521_896-20220610\0521_896-20220610-094858-131-131.txt,084135,094858
0521_896,2022-06-11,0,0.0,70,70,0521_896-20220611\0521_896-20220611-094217-70-0.txt,0521_896-20220611\0521_896-20220611-102316-70-70.txt,094217,102316
0521_896,2022-06-13,3,0.02857142857142857,105,102,0521_896-20220613\0521_896-20220613-100752-105-0.txt,0521_896-20220613\0521_896-20220613-100921-102-102.txt,100752,100921
0521_896,2022-06-14,5,0.03546099290780142,141,136,0521_896-20220614\0521_896-20220614-084424-141-0.txt,0521_896-20220614\0521_896-20220614-100913-136-136.txt,084424,100913
0521_896,2022-06-15,0,0.0,100,100,0521_896-20220615\0521_896-20220615-085421-100-0.txt,0521_896-20220615\0521_896-20220615-093311-100-100.txt,085421,093311
0521_896,2022-06-17,0,0.0,101,101,0521_896-20220617\0521_896-20220617-090435-101-0.txt,0521_896-20220617\0521_896-20220617-100229-101-101.txt,090435,100229
0521_896,2022-06-18,0,0.0,68,68,0521_896-20220618\0521_896-20220618-070401-68-0.txt,0521_896-20220618\0521_896-20220618-073915-68-68.txt,070401,073915
0521_896,2022-06-20,0,0.0,84,84,0521_896-20220620\0521_896-20220620-094045-84-0.txt,0521_896-20220620\0521_896-20220620-103029-84-84.txt,094045,103029
0521_896,2022-06-21,4,0.027777777777777776,144,140,0521_896-20220621\0521_896-20220621-085229-144-0.txt,0521_896-20220621\0521_896-20220621-101127-140-140.txt,085229,101127
0521_896,2022-06-22,7,0.04964539007092199,141,138,0521_896-20220622\0521_896-20220622-092504-141-0.txt,0521_896-20220622\0521_896-20220622-103407-138-138.txt,092504,103407
0521_B01,2022-05-30,2,0.020202020202020204,99,99,0521_B01-20220530\0521_B01-20220530-061135-99-0.txt,0521_B01-20220530\0521_B01-20220530-082824-99-99.txt,061135,082824
0521_B01,2022-05-31,2,0.012422360248447204,161,161,0521_B01-20220531\0521_B01-20220531-063030-161-0.txt,0521_B01-20220531\0521_B01-20220531-063245-161-161.txt,063030,063245
0521_B01,2022-06-07,22,0.24719101123595505,89,88,0521_B01-20220607\0521_B01-20220607-075234-89-0.txt,0521_B01-20220607\0521_B01-20220607-090143-88-88.txt,075234,090143
0521_B01,2022-06-08,1,0.01020408163265306,98,97,0521_B01-20220608\0521_B01-20220608-062026-98-0.txt,0521_B01-20220608\0521_B01-20220608-084030-97-97.txt,062026,084030
0521_B01,2022-06-13,5,0.08196721311475409,61,60,0521_B01-20220613\0521_B01-20220613-075149-61-0.txt,0521_B01-20220613\0521_B01-20220613-085645-60-60.txt,075149,085645
0521_B02,2022-05-30,0,0.0,53,53,0521_B02-20220530\0521_B02-20220530-081733-53-0.txt,0521_B02-20220530\0521_B02-20220530-084656-53-53.txt,081733,084656
0521_B02,2022-06-01,38,0.5757575757575758,66,66,0521_B02-20220601\0521_B02-20220601-092544-66-0.txt,0521_B02-20220601\0521_B02-20220601-095133-66-66.txt,092544,095133
0521_B02,2022-06-02,3,0.02654867256637168,113,112,0521_B02-20220602\0521_B02-20220602-075320-113-0.txt,0521_B02-20220602\0521_B02-20220602-085426-112-112.txt,075320,085426
